,Gene Name,log2(Fold change),P-value
716,UQCRC1,0.032,0.771
717,ATIC,-0.12,0.292
718,HNRNPH3,-0.239,0.064
719,YWHAB,0.081,0.427
720,SFN,0.68,0.006
721,STIP1,0.112,0.318
722,S100A11,-0.179,0.135
723,PRDX2,-0.561,0.003
724,CDA,0.028,0.948
725,PYCR1,-0.261,0.112
726,RPL9,0.308,0.046
727,KIF5B,-0.253,0.102
728,CKS2,-0.219,0.283
729,MCM7,-0.548,0.013
730,SHMT2,0.012,0.92
731,HSPA4,0.075,0.463
732,PFN2,-0.059,0.659
733,PHB,-0.146,0.187
734,RPA3,-0.309,0.386
735,RFC2,-0.627,0.003
736,RPL22,0.413,0.013
737,SPR,-0.394,0.01
738,MYH9,0.309,0.046
739,MYH10,0.167,0.274
740,COPB2,-0.112,0.451
741,PSMC2,-0.169,0.135
742,ARL3,-0.457,0.012
743,ATP5C1,-0.252,0.241
744,ATP6V1E1,-0.269,0.091
745,CPOX,-0.246,0.142
746,RPL4,0.182,0.125
747,DLST,-0.211,0.132
748,SRP14,-0.519,0.007
749,TAGLN2,0.151,0.195
750,TALDO1,-0.274,0.089
751,ETFB,-0.554,0.038
752,RBMX,-0.231,0.208
753,ATP6V1A,-0.484,0.006
754,HSPA9,-0.036,0.722
755,EIF4A3,-0.256,0.084
756,RPS19,0.41,0.013
757,RPL3,0.218,0.077
758,FEN1,-0.228,0.061
759,CCT6A,0.232,0.062
760,NNMT,-0.407,0.008
761,RPL13A;RPL13a,0.268,0.04
762,MDH1,-0.423,0.014
763,MDH2,-0.188,0.125
764,EIF2S3;EIF2S3L,0.109,0.319
765,NAA10,0.065,0.795
766,GARS,0.135,0.304
767,ECI1;DCI,-0.734,0.001
768,TMPO,-0.437,0.227
769,LRPPRC,0.275,0.048
770,ACAA2,-0.313,0.09
771,RPL35,0.361,0.022
772,GPD2,-0.526,0.042
773,MAGEA4,-0.174,0.174
774,NAMPT,0.013,0.941
775,PSMC4,-0.071,0.676
776,CBX5,-0.919,0.0
777,USP5,-0.222,0.166
778,RANGAP1,-0.231,0.117
779,NOP2,0.379,0.023
780,RPL27A,0.449,0.007
781,RPL5,0.357,0.026
782,RPL21,0.357,0.014
783,RPS9,0.491,0.007
784,RPS10;RPS10-NUDT3,0.263,0.046
785,GNPDA1,-0.636,0.003
786,IQGAP1,-0.143,0.186
787,CAPZA2,-0.25,0.302
