,Gene Name,log2(Fold change),P-value
735,HSPA4,0.169,0.141
736,PFN2,0.089,0.531
737,PHB,-0.106,0.351
738,RPA3,-0.126,0.635
739,RFC2,-0.062,0.603
740,RPL22,0.302,0.029
741,SPR,-0.417,0.034
742,MYH9,0.276,0.058
743,COPB2,-0.312,0.115
744,PSMC2,-0.056,0.611
745,ARL3,-0.427,0.02
746,MAP2K2;MAP2K1,-0.031,0.831
747,ATP5C1,-0.134,0.51
748,CPOX,-0.092,0.591
749,RPL4,0.142,0.208
750,DLST,-0.37,0.028
751,SRP14,-0.228,0.079
752,TAGLN2,0.126,0.292
753,TALDO1,-0.291,0.096
754,ETFB,-0.348,0.142
755,RBMX;RBMXL1,-0.06,0.701
756,ATP6V1A,-0.547,0.004
757,HSPA9,-0.041,0.687
758,EIF4A3,-0.37,0.031
759,RPS19,0.349,0.026
760,RPL3,0.137,0.232
761,FEN1,-0.04,0.702
762,CCT6A,0.263,0.053
763,NNMT,-0.681,0.005
764,RPL13A;RPL13a,0.293,0.033
765,MDH1,-0.274,0.057
766,MDH2,-0.142,0.239
767,RFC5,-0.093,0.593
768,EIF2S3;EIF2S3L,0.029,0.788
769,BUD31,-0.159,0.221
770,NAA10,-0.097,0.704
771,GARS,-0.115,0.367
772,IARS,-0.07,0.504
773,EIF1;EIF1B,-0.027,0.846
774,ECI1;DCI,-0.859,0.001
775,TMPO,-0.486,0.191
776,LRPPRC,0.286,0.053
777,ACAA2,-0.856,0.007
778,RPL35,0.238,0.094
779,GPD2,-0.5,0.017
780,MAGEA4,-0.281,0.051
781,NAMPT,-0.208,0.324
782,PSMC4,-0.079,0.623
783,CBX5,-0.784,0.001
784,USP5,-0.032,0.84
785,RANGAP1,-0.13,0.357
786,RECQL,-0.11,0.326
787,NOP2,0.161,0.284
788,RPL27A,0.288,0.035
789,RPL5,0.27,0.068
790,RPL21,0.307,0.03
791,RPS9,0.391,0.02
792,RPS10;RPS10-NUDT3,0.189,0.176
793,GNPDA1,-0.739,0.002
794,IQGAP1,-0.345,0.025
795,CAPZA2,-0.021,0.92
796,CAPZB,-0.062,0.549
797,EIF1AX,0.015,0.882
798,QARS,0.228,0.149
799,ATP5O,0.032,0.796
800,ARCN1,-0.133,0.247
801,PSMD8,0.07,0.813
802,CCT5,0.177,0.154
803,ALDH9A1,-0.057,0.867
804,RPL34,0.897,0.018
805,RPIA,0.179,0.554
806,NASP,-0.046,0.655
807,FASN,0.052,0.681
808,CCT3,0.188,0.153
809,TUFM,-0.156,0.174
810,SRP9;DKFZp564M2223,-0.133,0.236
811,AARS,-0.66,0.008
812,SARS,-0.179,0.234
813,PSMB3,0.009,0.935
814,PSMB2,-0.154,0.447
815,MCM2,-0.393,0.025
816,ACADVL,-0.485,0.008
817,TMED10,-0.182,0.155
818,HINT1,-0.185,0.212
819,SEPHS1,-0.504,0.005
820,GMPS,0.082,0.443
821,IDH3A,-0.35,0.577
